Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/co-khi-o-to-tu-dong-hoa/nhan-vien-ky-thuat-sua-chua-bao-duong-o-to-c47p73id200292769.html,"Nhân Viên Kỹ Thuật Sửa Chữa, Bảo Dưỡng Ô Tô",Gara Oto Kim Quế - Chi Nhánh Công Ty Cổ Phần Vận Tải Thương Mại Và Du Lịch Đông Anh,10 - 20 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/truong-phong-kinh-doanh-c13p73id200292723.html,Trưởng Phòng Kinh Doanh,Công Ty CP Thang Máy Và Thiết Bị Thành Công,20 - 30 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-telesales-viec-lam-tot-c13p122id200292567.html,Nhân Viên Telesales (Việc Làm Tốt),Công Ty Tnhh Chợ Tốt,7 - 15 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/sales-leader-truong-nhom-kinh-doanh-c13p73id200292364.html,Sales Leader / Trưởng Nhóm Kinh Doanh,Công Ty CP Cơ Khí Chính Xác Smart Việt Nam,15 - 25 triệu,Hà Nội
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-cham-soc-khach-hang-vung-tau-c13p121id200292247.html,Nhân Viên Tư Vấn Chăm Sóc Khách Hàng [Vũng Tàu],Công Ty TNHH Stradex Việt Nam,7.5 - 15 triệu,Bà Rịa - Vũng Tàu
https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-hang-tieu-dung-kenh-gt-dai-ly-tap-hoa-cho-c6p122id200292038.html,Nhân Viên Kinh Doanh Hàng Tiêu Dùng (Kênh GT - Đại Lý - Tạp Hóa - Chợ),Công Ty TNHH Dksh Việt Nam,8 - 14 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-elite-co-luong-cung-khong-ap-kpi-doanh-so-c13p92id200292024.html,"Nhân Viên Tư Vấn (Elite) - Có Lương Cứng, Không Áp Kpi Doanh Số",Công Ty TNHH Bảo Hiểm Nhân Thọ AIA (Việt Nam),10 - 50 triệu,Hải Phòng
https://vieclam24h.vn/quan-ly-tieu-chuan-va-chat-luong/nhan-vien-quan-ly-he-thong-chat-luong-c28p90id200291981.html,Nhân Viên Quản Lý Hệ Thống Chất Lượng,Công Ty TNHH Điện Tử Foster (Bắc Ninh),13 - 16 triệu,Bắc Ninh
https://vieclam24h.vn/marketing/nhan-vien-truyen-thong-c12p89id200291841.html,Nhân Viên Truyền Thông,Công Ty Cổ Phần Tập Đoàn Sông Hồng Thủ Đô,6 - 12 triệu,Vĩnh Phúc
https://vieclam24h.vn/hanh-chinh-thu-ky/tro-ly-giam-doc-c1p122id200291681.html,Trợ Lý Giám Đốc,Công Ty TNHH Sản Xuất Thương Mại Và Dịch Vụ Kiến Hưng Hưng Yên,12 - 14 triệu,TP.HCM
https://vieclam24h.vn/ngan-hang/nhan-vien-thu-doi-ngoai-te-tai-san-bay-tan-son-nhat-tan-binh-c19p122id200291695.html,Nhân Viên Thu Đổi Ngoại Tệ - Tại Sân Bay Tân Sơn Nhất (Tân Bình),Công Ty Cổ Phần Sóng Việt,7 - 9 triệu,TP.HCM
https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-sales-bat-dong-san-thu-nhap-10-50-trieu-khong-yeu-cau-kinh-nghiem-ban-du-an-vinhomes-smart-city-c13p73id200291630.html,Nhân Viên Kinh Doanh / Sales Bất Động Sản  (Thu Nhập 10-50 Triệu) Không Yêu Cầu Kinh Nghiệm. Bán Dự Án Vinhomes Smart City,Công Ty Cổ Phần Đông Tây Hà Nội,10 - 50 triệu,Hà Nội
https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/giam-sat-kinh-doanh-kenh-gt-dai-ly-tap-hoa-cho-c6p133id200291677.html,Giám Sát Kinh Doanh - Kênh GT (Đại Lý - Tạp Hóa - Chợ),Công Ty TNHH Dksh Việt Nam,20 - 25 triệu,"Sóc Trăng, An Giang, TP.HCM, Đồng Nai"
https://vieclam24h.vn/bao-hiem/nhan-vien-tu-van-tren-24-tuoi-kenh-khach-hang-uu-tien-nest-by-aia-luong-16-800-000d-hoa-hong-10-30-c23p122id200291255.html,Nhân Viên Tư Vấn Trên 24 Tuổi Kênh Khách Hàng Ưu Tiên Nest By AIA (Lương 16.800.000Đ + Hoa Hồng 10-30%),Nest By AIA - Công Ty TNHH Bảo Hiểm Nhân Thọ AIA Việt Nam,17 - 30 triệu,TP.HCM
