Liên kết,Tên công việc,Tên công ty,Mức lương,Khu vực tuyển
https://vieclam24h.vn/tai-chinh-dau-tu-chung-khoan/ke-toan-noi-bo-quan-11-nha-be-c18p122id200293568.html,"Kế Toán Nội Bộ [Quận 11, Nhà Bè]",Văn Phòng Công Chứng Nguyễn Tấn Thành,6 - 8 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-le-tan-quan-5-c1p122id200293413.html,Nhân Viên Lễ Tân (Quận 5),Vedas Yoga Center,5 - 6 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/nhan-vien-ke-toan-tong-hop-c17p122id200289418.html,Nhân Viên Kế Toán Tổng Hợp,Công Ty Tnhh Industrialfloor Products,15 - 17 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/chuyen-vien-cham-soc-khach-hang-c1p73id200293180.html,Chuyên Viên Chăm Sóc Khách Hàng,Công ty Tài Chính TNHH HD SAISON,8 - 10 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-tu-van-ban-hang-qua-dien-thoai-tai-ha-noi-c1p73id200293085.html,Nhân Viên Tư Vấn Bán Hàng Qua Điện Thoại Tại Hà Nội,Công ty Tài Chính TNHH HD SAISON,12 - 30 triệu,Hà Nội
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-quan-ly-san-thuong-mai-dien-tu-livestream-c1p122id200288655.html,Nhân Viên Quản Lý Sàn Thương Mại Điện Tử - Livestream,Công Ty TNHH Miracle Baby Việt Nam,12 - 15 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-phien-dich-tieng-han-c1p119id200288479.html,Nhân Viên Phiên Dịch Tiếng Hàn,Công Ty TNHH Baiksan Việt Nam,15 - 20 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-kinh-doanh-mat-hang-me-va-be-c1p122id200288711.html,Nhân Viên Kinh Doanh Mặt Hàng Mẹ Và Bé,Công Ty TNHH Miracle Baby Việt Nam,10 - 15 triệu,TP.HCM
https://vieclam24h.vn/ke-toan/pho-phong-ke-toan-c17p121id200288195.html,Phó Phòng Kế Toán,Công Ty TNHH Dịch Vụ Kỹ Thuật An Phát Đạt,15 - 18 triệu,Bà Rịa - Vũng Tàu
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-phap-ly-kiem-hanh-chinh-c1p122id200292553.html,Nhân Viên Pháp Lý Kiêm Hành Chính,Công Ty CP Nhà Trọ Sạch Sẽ,11 - 15 triệu,TP.HCM
https://vieclam24h.vn/hanh-chinh-thu-ky/phien-dich-tieng-trung-c1p119id200287959.html,Phiên Dịch Tiếng Trung,Công Ty TNHH Tribeco Bình Dương,10 - 13 triệu,Bình Dương
https://vieclam24h.vn/hanh-chinh-thu-ky/nhan-vien-nhan-su-c1p119id200292053.html,Nhân Viên Nhân Sự,Công Ty TNHH Điện Tử Và Ngũ Kim Gem Việt Nam,9 - 12 triệu,Bình Dương
